year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2009,Alameda,10175,1075,272,10021,21543
2009,Alpine,11,1,0,1,13
2009,Amador,123,14,1,16,154
2009,Butte,1199,160,14,343,1716
2009,Calaveras,67,18,1,14,100
2009,Colusa,48,18,1,13,80
2009,Contra Costa,4222,368,167,3253,8010
2009,Del Norte,94,27,1,17,139
2009,El Dorado,550,67,3,108,728
2009,Fresno,5342,327,122,2753,8544
2009,Glenn,78,3,0,17,98
2009,Humboldt,550,54,9,193,806
2009,Imperial,704,33,4,186,927
2009,Inyo,76,14,2,8,100
2009,Kern,5236,285,111,2150,7782
2009,Kings,721,53,5,134,913
2009,Lake,249,59,6,69,383
2009,Lassen,138,9,2,17,166
2009,Los Angeles,50248,3990,1296,46843,102377
2009,Madera,787,52,4,297,1140
2009,Marin,525,69,8,243,845
2009,Mariposa,44,3,0,1,48
2009,Mendocino,597,39,5,71,712
2009,Merced,2159,130,38,498,2825
2009,Modoc,11,1,0,0,12
2009,Mono,79,5,0,4,88
2009,Monterey,2449,223,94,1260,4026
2009,Napa,682,58,2,185,927
2009,Nevada,333,49,2,26,410
2009,Orange,7842,907,136,5878,14763
2009,Placer,923,95,8,285,1311
2009,Plumas,96,19,1,5,121
2009,Riverside,7389,762,162,4868,13181
2009,Sacramento,8554,719,111,5355,14739
2009,San Benito,311,14,0,100,425
2009,San Bernardino,11123,924,220,5743,18010
2009,San Diego,14586,1402,141,7772,23901
2009,San Francisco,4638,358,90,6901,11987
2009,San Joaquin,6228,261,92,3302,9883
2009,San Luis Obispo,753,156,5,189,1103
2009,San Mateo,2237,248,30,1422,3937
2009,San Barbara,2793,221,22,502,3538
2009,Santa Clara,5923,741,88,2931,9683
2009,Santa Cruz,1574,138,18,404,2134
2009,Shasta,1631,186,5,225,2047
2009,Sierra,13,0,0,0,13
2009,Siskiyou,263,29,1,30,323
2009,Solano,2179,217,38,1604,4038
2009,Sonoma,2400,279,12,582,3273
2009,Stanislaus,3349,217,78,1289,4933
2009,Sutter,372,40,2,98,512
2009,Tehama,490,17,4,51,562
2009,Trinity,19,0,0,3,22
2009,Tulare,2926,250,47,945,4168
2009,Tuolumne,149,32,1,26,208
2009,Ventura,2101,212,52,1488,3853
2009,Yolo,590,125,14,335,1064
2009,Yuba,269,31,4,63,367
