year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2011,Alameda,9410,792,262,10131,20595
2011,Alpine,7,0,0,0,7
2011,Amador,118,11,3,10,142
2011,Butte,599,136,14,291,1040
2011,Calaveras,107,20,1,8,136
2011,Colusa,52,4,1,7,64
2011,Contra Costa,4346,292,113,2572,7323
2011,Del Norte,170,22,2,26,220
2011,El Dorado,458,39,6,85,588
2011,Fresno,6466,272,98,2597,9433
2011,Glenn,94,6,2,16,118
2011,Humboldt,403,112,4,155,674
2011,Imperial,574,56,6,160,796
2011,Inyo,69,9,1,5,84
2011,Kern,5041,260,70,1700,7071
2011,Kings,703,47,14,178,942
2011,Lake,370,50,5,68,493
2011,Lassen,169,13,1,18,201
2011,Los Angeles,43322,3622,1047,38020,86011
2011,Madera,979,44,6,258,1287
2011,Marin,588,78,4,216,886
2011,Mariposa,49,5,0,1,55
2011,Mendocino,556,25,7,81,669
2011,Merced,1725,100,26,507,2358
2011,Modoc,42,13,0,5,60
2011,Mono,68,11,0,8,87
2011,Monterey,2374,166,60,1100,3700
2011,Napa,526,63,4,136,729
2011,Nevada,302,28,2,38,370
2011,Orange,7406,814,148,4521,12889
2011,Placer,780,107,10,188,1085
2011,Plumas,86,14,1,3,104
2011,Riverside,7375,558,142,3920,11995
2011,Sacramento,7394,545,125,4090,12154
2011,San Benito,263,26,9,56,354
2011,San Bernardino,9221,833,194,5364,15612
2011,San Diego,13328,1227,146,5875,20576
2011,San Francisco,4244,265,100,6230,10839
2011,San Joaquin,6794,258,151,3261,10464
2011,San Luis Obispo,776,152,9,149,1086
2011,San Mateo,1687,252,32,943,2914
2011,San Barbara,2243,224,19,565,3051
2011,Santa Clara,4992,672,106,3102,8872
2011,Santa Cruz,1370,116,17,468,1971
2011,Shasta,1662,164,10,242,2078
2011,Sierra,5,0,0,0,5
2011,Siskiyou,214,14,2,23,253
2011,Solano,1856,222,57,1369,3504
2011,Sonoma,2207,239,17,419,2882
2011,Stanislaus,3045,218,52,1326,4641
2011,Sutter,381,48,5,119,553
2011,Tehama,425,19,3,62,509
2011,Trinity,25,5,3,1,34
2011,Tulare,2652,168,60,638,3518
2011,Tuolumne,85,21,1,29,136
2011,Ventura,1819,192,28,1209,3248
2011,Yolo,556,184,10,294,1044
2011,Yuba,364,30,5,51,450
