year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2000,Alameda,10431,1086,219,6496,18232
2000,Alpine,9,1,0,0,10
2000,Amador,171,26,2,4,203
2000,Butte,708,118,10,244,1080
2000,Calaveras,134,8,4,5,151
2000,Colusa,81,4,8,1,94
2000,Contra Costa,5371,412,104,2476,8363
2000,Del Norte,105,4,2,22,133
2000,El Dorado,973,57,4,49,1083
2000,Fresno,7170,483,64,3056,10773
2000,Glenn,115,7,2,20,144
2000,Humboldt,394,101,5,144,644
2000,Imperial,1004,23,7,244,1278
2000,Inyo,67,13,1,2,83
2000,Kern,3084,232,63,1003,4382
2000,Kings,455,51,5,116,627
2000,Lake,287,26,5,47,365
2000,Lassen,85,18,0,16,119
2000,Los Angeles,108244,5260,1900,54812,170216
2000,Madera,1086,68,15,280,1449
2000,Marin,859,74,6,179,1118
2000,Mariposa,122,5,0,3,130
2000,Mendocino,371,37,9,39,456
2000,Merced,1701,101,9,313,2124
2000,Modoc,39,4,0,1,44
2000,Mono,41,4,2,6,53
2000,Monterey,2740,270,46,1297,4353
2000,Napa,411,62,4,86,563
2000,Nevada,147,26,1,21,195
2000,Orange,10402,991,114,5663,17170
2000,Placer,654,73,7,143,877
2000,Plumas,46,12,1,4,63
2000,Riverside,12099,749,132,3727,16707
2000,Sacramento,5750,593,115,3995,10453
2000,San Benito,573,8,5,47,633
2000,San Bernardino,10940,936,262,4997,17135
2000,San Diego,17957,1501,180,6473,26111
2000,San Francisco,5546,461,118,6936,13061
2000,San Joaquin,5464,371,71,2495,8401
2000,San Luis Obispo,886,103,4,128,1121
2000,San Mateo,2435,281,20,1175,3911
2000,Santa Barbara,1741,195,19,351,2306
2000,Santa Clara,10955,934,66,2075,14030
2000,Santa Cruz,1637,173,12,317,2139
2000,Shasta,988,205,5,139,1337
2000,Sierra,4,0,0,0,4
2000,Siskiyou,268,33,1,25,327
2000,Solano,3177,262,42,1404,4885
2000,Sonoma,1521,283,18,439,2261
2000,Stanislaus,3567,250,22,930,4769
2000,Sutter,315,32,3,95,445
2000,Tehama,401,19,7,31,458
2000,Trinity,19,2,2,0,23
2000,Tulare,3446,220,25,622,4313
2000,Tuolumne,261,15,2,30,308
2000,Ventura,2363,296,44,1318,4021
2000,Yolo,1509,114,11,242,1876
2000,Yuba,315,35,3,79,432
